220,99 209,377 431,280 603,153
318,31 75,109 193,259 77,307
48,344 592,479 288,110 302,6
65,192 164,212 497,185 615,277
283,25 526,61 367,251 557,188
604,376 415,447 232,382 14,224
10,235 20,384 514,406 68,276
319,170 347,172 631,336 348,58
80,32 634,305 389,475 553,68
41,287 223,377 418,396 189,303
328,412 478,31 311,446 634,313
478,236 55,329 379,375 188,155
105,402 581,264 406,61 424,34
32,154 265,143 414,401 158,56
394,105 345,350 593,192 371,435
303,186 191,93 429,381 600,406
244,298 555,370 72,15 495,397
265,387 474,441 455,424 60,268
110,141 498,237 413,410 511,232
466,313 165,209 152,446 621,48
512,308 75,264 455,351 524,428
437,321 172,348 142,479 78,417
620,462 376,315 580,232 304,33
454,329 588,113 528,54 268,445
464,95 8,398 590,393 252,230
43,2 52,13 639,245 467,5
97,97 32,157 198,331 4,365
90,462 19,52 94,310 632,258
273,172 502,143 599,311 178,387
476,93 387,36 329,35 67,34
367,115 533,270 452,135 34,302
506,282 50,132 143,449 215,413
466,163 247,68 94,373 274,338
457,469 206,266 114,149 639,1
81,66 178,371 307,96 625,215
133,371 137,479 308,319 495,170
561,448 595,327 549,351 319,278
14,180 305,403 18,396 208,262
357,267 354,22 167,141 104,42
381,126 519,255 114,44 472,257
384,432 343,75 124,398 155,227
34,104 238,266 325,414 79,45
584,155 449,468 304,256 19,391
443,470 306,164 250,33 366,162
215,132 611,317 252,0 601,186
17,422 560,179 436,330 398,314
442,460 343,255 633,52 352,214
442,17 42,187 634,370 635,407
63,30 49,449 627,183 42,296
600,214 330,329 444,396 421,396
556,292 529,473 202,294 464,70
101,412 25,90 503,40 55,302
217,370 289,445 400,68 359,89
53,415 162,172 411,3 2,474
414,455 260,37 153,117 323,17
390,150 582,101 415,362 298,125
3,266 613,332 390,262 284,408
136,416 465,21 628,182 628,467
233,285 358,10 358,78 618,375
331,387 204,475 18,395 409,81
506,476 368,335 421,308 238,299
492,1 536,323 187,14 199,393
348,222 342,147 430,149 614,46
83,82 134,201 461,441 31,151
639,257 610,48 262,185 554,51
391,447 509,250 192,404 303,387
386,411 204,100 174,367 574,19
113,30 359,253 472,411 247,260
558,456 185,425 235,255 100,433
450,412 474,303 366,79 419,332
98,92 185,437 362,24 297,192
626,447 485,65 495,211 634,340
376,280 454,267 334,32 23,471
281,80 538,436 199,249 41,386
291,200 430,73 377,469 633,28
194,229 112,187 456,76 84,117
387,229 460,268 345,142 21,279
276,448 276,193 375,427 503,331
232,197 488,50 127,235 18,161
493,324 169,331 181,380 563,395
586,396 599,437 346,224 265,405
266,444 17,399 223,108 360,466
611,295 171,167 485,343 512,46
164,357 529,353 450,213 444,348
601,330 603,103 237,5 180,71
236,320 42,49 320,296 504,293
284,255 477,272 593,222 18,457
437,426 76,73 574,353 396,261
254,87 217,367 74,171 608,361
496,183 199,162 602,420 219,9
396,418 372,6 408,312 599,471
477,320 428,54 411,416 465,88
218,392 267,61 327,414 561,327
611,253 377,124 428,143 194,418
592,90 430,185 130,392 413,282
81,173 570,416 476,464 538,154
17,460 28,141 629,475 545,328
138,39 90,465 616,193 386,251
371,86 155,295 327,88 325,79
99,446 520,387 58,191 0,233
159,224 294,361 596,143 228,470
52,60 81,412 483,56 420,261
136,324 337,342 202,304 248,61
443,163 14,414 587,278 139,8
147,261 52,460 178,83 454,219
320,244 290,428 342,34 152,273
487,228 455,21 622,394 453,242
570,172 158,299 614,454 633,302
59,241 446,96 79,152 175,473
84,266 475,369 512,107 216,280
163,32 504,447 116,264 74,448
526,434 554,172 504,37 75,67
306,480 512,67 317,166 222,480
581,251 49,7 274,110 138,202
144,355 340,76 13,459 424,105
316,428 122,137 9,59 314,61
141,96 370,69 51,232 181,147
388,381 133,132 160,392 535,369
593,447 579,401 205,324 478,212
183,399 178,67 159,245 37,111
386,225 272,413 91,459 469,335
380,229 6,313 432,226 329,311
452,433 294,287 341,349 582,21
472,187 446,419 491,180 255,371
68,46 157,269 152,212 590,264
614,480 360,400 308,91 444,107
620,147 607,213 181,392 313,409
44,303 184,440 15,75 604,76
415,375 415,5 35,450 412,457
625,193 452,322 348,66 604,304
504,309 158,463 412,480 635,444
540,220 368,211 531,88 542,7
445,106 358,236 68,464 132,440
503,450 474,268 4,327 246,344
113,229 346,129 429,453 474,173
39,149 580,257 333,118 493,216
527,417 591,10 619,225 167,77
557,102 520,317 575,89 576,37
24,323 319,371 346,180 71,42
477,297 591,313 71,53 465,275
365,248 239,387 3,253 218,350
336,329 96,411 264,279 101,453
377,2 502,452 586,173 527,471
76,229 559,287 91,312 8,471
157,49 611,206 305,50 63,184
595,117 281,259 373,18 9,185
300,128 190,321 374,159 111,391
616,239 319,118 478,150 560,246
356,345 632,138 365,408 635,410
111,376 158,244 427,469 623,334
350,128 277,246 563,51 602,426
33,108 101,206 35,95 293,153
605,139 279,26 60,301 613,143
294,10 133,247 205,7 186,62
637,276 438,255 567,9 162,468
341,320 363,224 382,229 464,430
74,323 498,321 299,198 173,387
245,469 276,262 68,255 16,13
466,74 127,149 238,33 258,342
325,340 622,190 195,283 587,214
199,67 568,425 288,59 618,278
396,293 630,121 94,234 1,246
588,45 229,169 623,144 190,249
151,389 39,450 165,355 14,71
25,220 481,380 171,397 153,303
233,454 459,225 439,188 317,320
596,442 343,365 5,406 511,356
151,80 290,81 33,248 96,313
305,213 373,475 204,165 623,153
498,142 299,432 357,289 350,389
226,265 136,68 590,367 166,409
437,193 443,218 367,199 345,194
624,117 232,309 248,439 201,290
165,380 291,203 111,351 336,106
202,95 339,143 325,425 153,111
77,395 128,107 358,147 490,271
10,309 558,58 263,215 477,249
374,126 412,223 250,222 267,273
273,417 611,325 214,47 210,402
483,476 466,440 113,139 346,437
368,178 31,77 371,315 517,436
521,459 73,70 536,345 184,353
439,67 512,169 192,70 329,92
265,318 103,305 51,234 136,106
329,433 57,325 413,274 319,471
155,11 495,318 197,323 119,416
583,186 493,104 162,377 494,328
276,316 207,200 592,305 194,215
512,366 190,126 236,272 212,309
188,334 147,45 182,82 150,56
208,68 311,238 45,419 366,190
74,18 376,49 482,28 301,94
347,190 236,49 218,46 167,2
629,122 548,380 391,29 480,170
145,368 22,230 492,429 609,157
544,362 104,274 513,168 219,405
240,196 532,370 309,420 578,11
406,451 250,152 359,290 225,431
87,110 317,431 500,224 381,22
368,142 226,480 171,345 632,42
140,147 373,256 338,116 517,184
80,68 206,384 91,72 250,87
329,297 264,419 351,192 114,456
147,154 255,402 353,326 77,115
449,112 424,118 540,193 438,115
